metrics_streamer_audio_jitter_count,metrics_streamer_audio_jitter_stddev,metrics_streamer_audio_jitter_min,metrics_streamer_audio_jitter_max,metrics_streamer_audio_jitter_sum,metrics_streamer_audio_jitter_999%,metrics_streamer_audio_jitter_99%,metrics_streamer_audio_jitter_median,metrics_streamer_audio_jitter_75%,metrics_streamer_audio_jitter_95%,metrics_streamer_audio_jitter_mean,metrics_streamer_audio_pkt_total_count,metrics_streamer_audio_bytes_sent_count,metrics_streamer_audio_rtt_count,metrics_streamer_audio_rtt_stddev,metrics_streamer_audio_rtt_min,metrics_streamer_audio_rtt_max,metrics_streamer_audio_rtt_sum,metrics_streamer_audio_rtt_999%,metrics_streamer_audio_rtt_99%,metrics_streamer_audio_rtt_median,metrics_streamer_audio_rtt_75%,metrics_streamer_audio_rtt_95%,metrics_streamer_audio_rtt_mean,metrics_streamer_audio_bitrate_count,metrics_streamer_audio_bitrate_stddev,metrics_streamer_audio_bitrate_min,metrics_streamer_audio_bitrate_max,metrics_streamer_audio_bitrate_sum,metrics_streamer_audio_bitrate_999%,metrics_streamer_audio_bitrate_99%,metrics_streamer_audio_bitrate_median,metrics_streamer_audio_bitrate_75%,metrics_streamer_audio_bitrate_95%,metrics_streamer_audio_bitrate_mean,metrics_streamer_video_jitter_count,metrics_streamer_video_jitter_stddev,metrics_streamer_video_jitter_min,metrics_streamer_video_jitter_max,metrics_streamer_video_jitter_sum,metrics_streamer_video_jitter_999%,metrics_streamer_video_jitter_99%,metrics_streamer_video_jitter_median,metrics_streamer_video_jitter_75%,metrics_streamer_video_jitter_95%,metrics_streamer_video_jitter_mean,metrics_streamer_video_pkt_total_count,metrics_streamer_video_bytes_sent_count,metrics_streamer_video_frames_count,metrics_streamer_video_rtt_count,metrics_streamer_video_rtt_stddev,metrics_streamer_video_rtt_min,metrics_streamer_video_rtt_max,metrics_streamer_video_rtt_sum,metrics_streamer_video_rtt_999%,metrics_streamer_video_rtt_99%,metrics_streamer_video_rtt_median,metrics_streamer_video_rtt_75%,metrics_streamer_video_rtt_95%,metrics_streamer_video_rtt_mean,metrics_streamer_video_adapt_count,metrics_streamer_video_adapt_stddev,metrics_streamer_video_adapt_min,metrics_streamer_video_adapt_max,metrics_streamer_video_adapt_sum,metrics_streamer_video_adapt_999%,metrics_streamer_video_adapt_99%,metrics_streamer_video_adapt_median,metrics_streamer_video_adapt_75%,metrics_streamer_video_adapt_95%,metrics_streamer_video_adapt_mean,metrics_streamer_video_encode_count,metrics_streamer_video_encode_stddev,metrics_streamer_video_encode_min,metrics_streamer_video_encode_max,metrics_streamer_video_encode_sum,metrics_streamer_video_encode_999%,metrics_streamer_video_encode_99%,metrics_streamer_video_encode_median,metrics_streamer_video_encode_75%,metrics_streamer_video_encode_95%,metrics_streamer_video_encode_mean,metrics_streamer_video_grab_count,metrics_streamer_video_grab_stddev,metrics_streamer_video_grab_min,metrics_streamer_video_grab_max,metrics_streamer_video_grab_sum,metrics_streamer_video_grab_999%,metrics_streamer_video_grab_99%,metrics_streamer_video_grab_median,metrics_streamer_video_grab_75%,metrics_streamer_video_grab_95%,metrics_streamer_video_grab_mean,metrics_streamer_video_bitrate_count,metrics_streamer_video_bitrate_stddev,metrics_streamer_video_bitrate_min,metrics_streamer_video_bitrate_max,metrics_streamer_video_bitrate_sum,metrics_streamer_video_bitrate_999%,metrics_streamer_video_bitrate_99%,metrics_streamer_video_bitrate_median,metrics_streamer_video_bitrate_75%,metrics_streamer_video_bitrate_95%,metrics_streamer_video_bitrate_mean,metrics_streamer_audio_encode_count,metrics_streamer_audio_encode_stddev,metrics_streamer_audio_encode_min,metrics_streamer_audio_encode_max,metrics_streamer_audio_encode_sum,metrics_streamer_audio_encode_999%,metrics_streamer_audio_encode_99%,metrics_streamer_audio_encode_median,metrics_streamer_audio_encode_75%,metrics_streamer_audio_encode_95%,metrics_streamer_audio_encode_mean,metrics_streamer_audio_frames_count,metrics_streamer_audio_grab_count,metrics_streamer_audio_grab_stddev,metrics_streamer_audio_grab_min,metrics_streamer_audio_grab_max,metrics_streamer_audio_grab_sum,metrics_streamer_audio_grab_999%,metrics_streamer_audio_grab_99%,metrics_streamer_audio_grab_median,metrics_streamer_audio_grab_75%,metrics_streamer_audio_grab_95%,metrics_streamer_audio_grab_mean,metrics_streamer_audio_adapt_count,metrics_streamer_audio_adapt_stddev,metrics_streamer_audio_adapt_min,metrics_streamer_audio_adapt_max,metrics_streamer_audio_adapt_sum,metrics_streamer_audio_adapt_999%,metrics_streamer_audio_adapt_99%,metrics_streamer_audio_adapt_median,metrics_streamer_audio_adapt_75%,metrics_streamer_audio_adapt_95%,metrics_streamer_audio_adapt_mean,metrics_client_audio_latency_count,metrics_client_audio_latency_stddev,metrics_client_audio_latency_min,metrics_client_audio_latency_max,metrics_client_audio_latency_sum,metrics_client_audio_latency_999%,metrics_client_audio_latency_99%,metrics_client_audio_latency_median,metrics_client_audio_latency_75%,metrics_client_audio_latency_95%,metrics_client_audio_latency_mean,metrics_client_audio_jitter_count,metrics_client_audio_jitter_stddev,metrics_client_audio_jitter_min,metrics_client_audio_jitter_max,metrics_client_audio_jitter_sum,metrics_client_audio_jitter_999%,metrics_client_audio_jitter_99%,metrics_client_audio_jitter_median,metrics_client_audio_jitter_75%,metrics_client_audio_jitter_95%,metrics_client_audio_jitter_mean,metrics_client_audio_pkt_total_count,metrics_client_audio_receive_interval_count,metrics_client_audio_receive_interval_stddev,metrics_client_audio_receive_interval_min,metrics_client_audio_receive_interval_max,metrics_client_audio_receive_interval_sum,metrics_client_audio_receive_interval_999%,metrics_client_audio_receive_interval_99%,metrics_client_audio_receive_interval_median,metrics_client_audio_receive_interval_75%,metrics_client_audio_receive_interval_95%,metrics_client_audio_receive_interval_mean,metrics_client_audio_decoding_count,metrics_client_audio_decoding_stddev,metrics_client_audio_decoding_min,metrics_client_audio_decoding_max,metrics_client_audio_decoding_sum,metrics_client_audio_decoding_999%,metrics_client_audio_decoding_99%,metrics_client_audio_decoding_median,metrics_client_audio_decoding_75%,metrics_client_audio_decoding_95%,metrics_client_audio_decoding_mean,metrics_client_audio_rendering_count,metrics_client_audio_rendering_stddev,metrics_client_audio_rendering_min,metrics_client_audio_rendering_max,metrics_client_audio_rendering_sum,metrics_client_audio_rendering_999%,metrics_client_audio_rendering_99%,metrics_client_audio_rendering_median,metrics_client_audio_rendering_75%,metrics_client_audio_rendering_95%,metrics_client_audio_rendering_mean,metrics_client_audio_rate_count,metrics_client_audio_rate_stddev,metrics_client_audio_rate_min,metrics_client_audio_rate_max,metrics_client_audio_rate_sum,metrics_client_audio_rate_999%,metrics_client_audio_rate_99%,metrics_client_audio_rate_median,metrics_client_audio_rate_75%,metrics_client_audio_rate_95%,metrics_client_audio_rate_mean,metrics_client_audio_bytes_rcv_count,metrics_client_audio_pkt_lost_count,metrics_client_audio_bitrate_count,metrics_client_audio_bitrate_stddev,metrics_client_audio_bitrate_min,metrics_client_audio_bitrate_max,metrics_client_audio_bitrate_sum,metrics_client_audio_bitrate_999%,metrics_client_audio_bitrate_99%,metrics_client_audio_bitrate_median,metrics_client_audio_bitrate_75%,metrics_client_audio_bitrate_95%,metrics_client_audio_bitrate_mean,metrics_client_video_latency_count,metrics_client_video_latency_stddev,metrics_client_video_latency_min,metrics_client_video_latency_max,metrics_client_video_latency_sum,metrics_client_video_latency_999%,metrics_client_video_latency_99%,metrics_client_video_latency_median,metrics_client_video_latency_75%,metrics_client_video_latency_95%,metrics_client_video_latency_mean,metrics_client_video_jitter_count,metrics_client_video_jitter_stddev,metrics_client_video_jitter_min,metrics_client_video_jitter_max,metrics_client_video_jitter_sum,metrics_client_video_jitter_999%,metrics_client_video_jitter_99%,metrics_client_video_jitter_median,metrics_client_video_jitter_75%,metrics_client_video_jitter_95%,metrics_client_video_jitter_mean,metrics_client_video_pkt_total_count,metrics_client_video_receive_interval_count,metrics_client_video_receive_interval_stddev,metrics_client_video_receive_interval_min,metrics_client_video_receive_interval_max,metrics_client_video_receive_interval_sum,metrics_client_video_receive_interval_999%,metrics_client_video_receive_interval_99%,metrics_client_video_receive_interval_median,metrics_client_video_receive_interval_75%,metrics_client_video_receive_interval_95%,metrics_client_video_receive_interval_mean,metrics_client_video_decoding_count,metrics_client_video_decoding_stddev,metrics_client_video_decoding_min,metrics_client_video_decoding_max,metrics_client_video_decoding_sum,metrics_client_video_decoding_999%,metrics_client_video_decoding_99%,metrics_client_video_decoding_median,metrics_client_video_decoding_75%,metrics_client_video_decoding_95%,metrics_client_video_decoding_mean,metrics_client_video_rendering_count,metrics_client_video_rendering_stddev,metrics_client_video_rendering_min,metrics_client_video_rendering_max,metrics_client_video_rendering_sum,metrics_client_video_rendering_999%,metrics_client_video_rendering_99%,metrics_client_video_rendering_median,metrics_client_video_rendering_75%,metrics_client_video_rendering_95%,metrics_client_video_rendering_mean,metrics_client_video_rate_count,metrics_client_video_rate_stddev,metrics_client_video_rate_min,metrics_client_video_rate_max,metrics_client_video_rate_sum,metrics_client_video_rate_999%,metrics_client_video_rate_99%,metrics_client_video_rate_median,metrics_client_video_rate_75%,metrics_client_video_rate_95%,metrics_client_video_rate_mean,metrics_client_video_bytes_rcv_count,metrics_client_video_pkt_lost_count,metrics_client_video_bitrate_count,metrics_client_video_bitrate_stddev,metrics_client_video_bitrate_min,metrics_client_video_bitrate_max,metrics_client_video_bitrate_sum,metrics_client_video_bitrate_999%,metrics_client_video_bitrate_99%,metrics_client_video_bitrate_median,metrics_client_video_bitrate_75%,metrics_client_video_bitrate_95%,metrics_client_video_bitrate_mean,speedtest_bandwidth,speedtest_icmp_latency,running_at_$date,stop_kind,status,user_exit,client,no error,other,server,streamer
48,64.3308202,91,531,8283,531,531,163,189.5,242.1,172.5625,72179,20653,48,3.320744457,39,54,2055,54,54,42,44,50.1,42.8125,48,33.08698028,1,140,5482,140,140,125,131,137.55,114.2083333,50,437.2087941,207,1815,38926,1815,1815,717,1109.25,1582.25,778.52,328569,433953,43281,50,5.135172831,39,70,2125,-0.007897447,-0.00789662,41,-0.007890241,-0.007894147,42.5,53,8.559718391,0,0,345,68,68,5,6,7,6.509433962,53,2.781595415,0,0,272,19,19,4,7,8,5.132075472,53,6.997939991,0,0,786,27,27,11,21,24.6,14.83018868,50,1349.904486,508,5171,115590,-0.00788592,-0.00788592,1581,-0.007884981,-0.00788592,2311.8,53,0.466766675,0,0,17,1,1,0,1,1,0.320754717,78075,53,0.943396226,0,0,16,5,5,0,0,2.6,0.301886792,53,8.571687938,0,0,63,63,63,0,0,0,1.188679245,26,2948.277427,-7280,13291,16210,13291,13291,350,378,9161.7,623.4615385,26,0.730769231,3,6,95,6,6,4,4,5.65,3.653846154,77975,26,98142006.99,4,510338441,510338557,510338441,510338441,5,5,331719988.4,19628406.04,26,189.835307,-447,726,814,726,726,2,3.5,590.9,31.30769231,26,136.6593831,-306,530,922,530,530,15,16.25,436.55,35.46153846,26,18444.99427,0,96154,2397677,96154,96154,95952,96019,96127.05,92218.34615,0,0,26,30.35724181,1,125,2932,125,125,125,125,125,112.7692308,26,1576.650224,2137,6939,105206,6939,6939,3284,5786.25,6781.15,4046.384615,26,12.03938311,12,48,760,48,48,24,41.5,48,29.23076923,347621,26,1.62282E+11,12640,8.43869E+11,8.43869E+11,1.547832799,1.558070251,18404.5,-0.168545693,1.007661219,32456513998,26,1387.57719,749,5320,68753,5320,5320,1987.5,4116.75,5188.05,2644.346154,26,169.8095696,589,1502,18868,1502,1502,708.5,767.75,1261.2,725.6923077,26,16.5341676,0,79,1536,79,79,54.5,73,76.9,59.07692308,0,0,26,1320.303901,893,4644,61188,4644,4644,1591,3950.75,4627.9,2353.384615,-0.469572351,0.282455416,1,game,ended,1,0,1,0,0,0
36,37.61611652,124,273,6426,273,273,173.5,205.25,250.05,178.5,54107,16945,36,2.648666098,54,66,2074,66,66,57,59.75,62.6,57.61111111,36,9.163593761,104,139,4499,139,139,127,133,137.3,124.9722222,36,92.37405089,160,606,11571,606,606,307,371.5,507.4,321.4166667,382494,516254,33668,36,3.400594538,54,72,2075,-0.007897374,-0.007896547,57,-0.007889667,-0.007893736,57.63888889,38,0.655786094,0,0,147,4,4,4,4,4,3.868421053,38,0.655786094,0,0,147,4,4,4,4,4,3.868421053,38,15.7639267,0,0,234,102,102,4,4,8.9,6.157894737,36,396.2955742,2325,4431,137506,-0.00788592,-0.00788592,3882.5,-0.007884874,-0.00788592,3819.611111,38,0,0,0,0,0,0,0,0,0,0,55560,38,2727.798849,0,0,17041,17041,17041,0,0,852.05,448.4473684,38,31.05410344,0,0,194,194,194,0,0,9.7,5.105263158,19,4875.547788,-7472,20285,21064,20285,20285,463,517,20285,1108.631579,19,1.223047372,3,9,83,9,9,4,4,9,4.368421053,56111,19,161029705.5,4,721146251,721146339,721146251,721146251,5,5,721146251,37955070.47,19,87.34051552,106,486,2868,486,486,125,134,486,150.9473684,19,56.87158105,21,281,1790,281,281,79,97,281,94.21052632,19,21893.16409,0,96096,1701571,96096,96096,95981,96058,96096,89556.36842,0,0,19,8.485281374,87,125,2337,125,125,125,125,125,123,19,15246.91921,-16887,71038,275017,71038,71038,12044,13084,71038,14474.57895,19,1.618795421,12,19,264,19,19,14,15,19,13.89473684,399746,19,1.89589E+11,13603,8.49046E+11,8.49046E+11,1.55884563,1.569122494,13613,-0.168545713,1.677350533,44686652075,19,1688.953063,7965,15919,183613,15919,15919,9357,9649,15919,9663.842105,19,545.5919604,1714,4417,40968,4417,4417,2051,2141,4417,2156.210526,19,16.32427623,0,74,1315,74,74,73,73,74,69.21052632,0,0,19,358.0198775,2353,3968,71789,3968,3968,3886,3928,3968,3778.368421,-0.085132747,0.307418373,1,client_disc,ended,1,0,1,0,0,0
5,23.91986622,119,192,789,192,192,156,181,192,157.8,7328,1813,5,1.166190379,35,38,184,38,38,37,38,38,36.8,5,31.95246469,50,129,481,129,129,114,125.5,129,96.2,5,135.0490281,247,649,2138,649,649,439,557,649,427.6,17136,21034,4534,5,7.730459236,34,55,199,-0.007897994,-0.007897166,37,-0.007890086,-0.007894107,39.8,6,0.471404521,0,0,28,5,5,5,5,5,4.666666667,6,0.372677996,0,0,19,4,4,3,3.25,4,3.166666667,6,3.287180487,0,0,43,12,12,7,10.5,12,7.166666667,5,213.4728086,914,1508,5602,-0.00788592,-0.00788592,1032,-0.007885531,-0.00788592,1120.4,6,0,0,0,0,0,0,0,0,0,0,7508,6,1.972026594,0,0,26,6,6,5,5.25,6,4.333333333,6,0,0,0,0,0,0,0,0,0,0,3,887.6091482,466,2371,3348,2371,2371,511,2371,2371,1116,3,1.247219129,4,7,17,7,7,6,7,7,5.666666667,8981,3,240737477.7,5,510681314,510681324,510681314,510681314,5,510681314,510681314,170227108,3,387.0928686,108,938,1172,938,938,126,938,938,390.6666667,3,281.2239124,19,630,698,630,630,49,630,630,232.6666667,3,44708.52836,0,95962,189641,95962,95962,93679,95962,95962,63213.66667,0,0,3,15.57776193,91,125,309,125,125,93,125,125,103,3,7581.362806,7074,23259,37614,23259,23259,7281,23259,23259,12538,3,3.265986324,17,25,63,25,25,21,25,25,21,21370,3,3.97804E+11,13874,8.4387E+11,8.4387E+11,1.547834485,1.558071943,13906,2.421693334,1.665815674,2.8129E+11,3,3426.557748,4177,11608,20298,11608,11608,4513,11608,11608,6766,3,1481.69505,1930,5145,9154,5145,5145,2079,5145,5145,3051.333333,3,33.9411255,0,72,144,72,72,72,72,72,48,0,0,3,32.16968898,1122,1199,3496,1199,1199,1175,1199,1199,1165.333333,-0.108084759,-0.129433379,1,game,ended,1,0,1,0,0,0
4,30.30676492,136,221,712,221,221,177.5,211.5,221,178,5888,1677,4,2.165063509,40,46,171,46,46,42.5,45.25,46,42.75,4,25.51470164,76,148,444,148,148,110,139,148,111,4,70.74779149,378,573,1866,573,573,457.5,548.75,573,466.5,50790,66486,7192,4,1.785357107,38,42,161,-0.007898467,-0.00789764,40.5,-0.00789025,-0.007894581,40.25,5,2,0,0,20,5,5,5,5,5,4,5,1.2,0,0,12,3,3,3,3,3,2.4,5,42,0,0,130,110,110,5,57.5,110,26,4,920.8455354,3069,5554,17712,-0.00788592,-0.00788592,4544.5,-0.00788456,-0.00788592,4428,5,0.4,0,0,1,1,1,0,0.5,1,0.2,6008,5,1.264911064,0,0,15,5,5,2,4.5,5,3,5,0,0,0,0,0,0,0,0,0,0,2,15250.5,28920,59421,88341,59421,59421,44170.5,59421,59421,44170.5,2,3,3,9,12,9,9,6,9,9,6,5979,2,255512122.5,5,511024250,511024255,511024250,511024250,255512127.5,511024250,511024250,255512127.5,2,404.5,102,911,1013,911,911,506.5,911,911,506.5,2,306,50,662,712,662,662,356,662,662,356,2,16608,0,33216,33216,33216,33216,16608,33216,33216,16608,0,0,2,12,101,125,226,125,125,113,125,125,113,2,2891239.5,4525162,10307641,14832803,10307641,10307641,7416401.5,10307641,10307641,7416401.5,2,5,5,15,20,15,15,10,15,15,10,50508,2,2.14414E+11,3671,4.28829E+11,4.28829E+11,0.664967989,0.672045933,2.14414E+11,1.147733699,0.740958117,2.14414E+11,2,3357,9803,16517,26320,16517,16517,13160,16517,16517,13160,2,1950,1681,5581,7262,5581,5581,3631,5581,5581,3631,2,27,0,54,54,54,54,27,54,54,27,0,0,2,545,3842,4932,8774,4932,4932,4387,4932,4932,4387,-0.108084759,-0.129433379,1,client_disc,error,0,1,0,0,0,0
4,24.20098139,108,174,573,174,174,145.5,169,174,143.25,5612,1592,4,2.277608395,42,47,177,47,47,44,46.75,47,44.25,4,22.46525094,69,125,423,125,125,114.5,124.5,125,105.75,4,44.6626242,453,575,2046,575,575,509,562.5,575,511.5,48744,63767,7125,4,2.121320344,40,45,172,-0.007898358,-0.007897531,43.5,-0.007890141,-0.007894472,43,5,2,0,0,20,5,5,5,5,5,4,5,1.549193338,0,0,15,4,4,4,4,4,3,5,42.8,0,0,132,112,112,5,58.5,112,26.4,4,1426.227892,1883,5609,16988,-0.00788592,-0.00788592,4748,-0.007884541,-0.00788592,4247,5,0.4,0,0,1,1,1,0,0.5,1,0.2,6008,5,0.8,0,0,8,2,2,2,2,2,1.6,5,1.6,0,0,4,4,4,0,2,4,0.8,2,652,309,1613,1922,1613,1613,961,1613,1613,961,2,1.5,4,7,11,7,7,5.5,7,7,5.5,5987,2,254827790.5,5,509655586,509655591,509655586,509655586,254827795.5,509655586,509655586,254827795.5,2,147.5,-85,210,125,210,210,62.5,210,210,62.5,2,153,-54,252,198,252,252,99,252,252,99,2,47340.5,0,94681,94681,94681,94681,47340.5,94681,94681,47340.5,0,0,2,11.5,102,125,227,125,125,113.5,125,125,113.5,2,3017.5,2798,8833,11631,8833,8833,5815.5,8833,8833,5815.5,2,3.5,5,12,17,12,12,8.5,12,12,8.5,49512,2,2.15263E+11,3653,4.30526E+11,4.30526E+11,0.668579616,0.675670485,2.15263E+11,1.152945208,0.74474152,2.15263E+11,2,1620.5,1995,5236,7231,5236,5236,3615.5,5236,5236,3615.5,2,711.5,433,1856,2289,1856,1856,1144.5,1856,1856,1144.5,2,137,0,274,274,274,274,137,274,274,137,0,0,2,690.5,3609,4990,8599,4990,4990,4299.5,4990,4990,4299.5,-0.469572351,0.282455416,1,game,error,1,1,0,0,0,0
306,53.19448196,78,792,40672,792,299.3,122,140.25,217.55,132.9150327,458910,140137,306,5.215575703,37,113,12234,113,58.23,39,40,44,39.98039216,306,16.16153962,8,146,37217,146,143.93,124,130,140,121.624183,308,179.1253911,316,1552,161697,1552,1495.65,489.5,546,871.55,524.9902597,3595110,4723358,483717,308,4.641802396,37,110,12335,-0.00789599,-0.007897349,39,-0.007890287,-0.007894472,40.0487013,310,0.289317256,0,0,1546,6,5,5,5,5,4.987096774,310,0.93786682,0,0,1349,6,6,4,5,6,4.351612903,310,6.143666739,0,0,2210,112,13,6,7,10,7.129032258,308,890.5673648,1597,6489,1258256,-0.00788592,-0.00788592,4226,-0.007884719,-0.00788592,4085.246753,310,0.056704503,0,0,1,1,0,0,0,0,0.003225806,463926,310,2.132550856,0,0,547,7,7,1,3,5.45,1.764516129,310,0.396931519,0,0,7,7,0,0,0,0,0.022580645,155,910.5882593,-4395,6982,69066,6982,5923.6,371,396,951.2,445.5870968,155,0.866391803,0,7,481,7,7,3,3,4.4,3.103225806,464973,155,40804259.88,4,509655654,509656347,509655654,224248490.6,5,5,5,3288105.465,155,102.8377011,-610,549,2843,549,487.4,10,21,155,18.34193548,155,78.05635628,-420,422,5619,422,419.2,30,43,133.8,36.2516129,155,7686.222121,0,96911,14780012,96911,96508.36,96000,96038,96096,95354.91613,0,0,155,12.61427103,19,125,18846,125,125,125,125,125,121.5870968,155,5034.734153,-25081,34645,549087,34645,23768.12,3229,5560,10934.2,3542.496774,155,96024.29962,0,1199376,1200596,1199376,527737.76,8,10,17,7745.780645,3611576,155,35974711949,234,4.49333E+11,4.49334E+11,0.708585443,0.178649258,4555,-0.168545737,-0.214622378,2898929641,155,2490.601106,-3954,9150,356846,9150,8600.08,2133,3872,6930.6,2302.232258,155,146.0156872,226,1948,73527,1948,1260.32,456,527,615.2,474.3677419,155,337.6882951,0,4292,40032,4292,2395.28,217,272,374.2,258.2709677,0,0,155,777.8628545,2056,5806,631666,5806,5663.76,4175,4706,5074.8,4075.264516,-0.469572351,0.282455416,1,game,error,1,1,0,0,0,0
35,41.08315112,105,273,5427,273,273,152,172,271.4,155.0571429,52684,15299,35,4.566604598,33,51,1332,51,51,36,40,50.2,38.05714286,35,31.45824573,16,148,4063,148,148,126,133,145.6,116.0857143,34,74.77514737,386,758,17953,758,758,526,564.25,728.75,528.0294118,156417,176241,65507,34,2.004536378,33,44,1215,-0.007898394,-0.007897567,35,-0.007890469,-0.007894617,35.73529412,36,0.16433555,0,0,145,5,5,4,4,4.15,4.027777778,36,0.363241579,0,0,75,4,4,2,2,3.15,2.083333333,36,0.493006649,0,0,177,5,5,5,5,5,4.916666667,34,230.6354243,1020,2559,46942,-0.00788592,-0.00788592,1332,-0.007885508,-0.00788592,1380.647059,36,0,0,0,0,0,0,0,0,0,0,52550,36,0.328671099,0,0,70,2,2,2,2,2,1.944444444,36,0,0,0,0,0,0,0,0,0,0,18,617.3327259,-101,3072,10821,3072,3072,486,527.5,3072,601.1666667,18,1.474055462,1,8,68,8,8,4,4,8,3.777777778,53978,18,116977430.8,4,510681502,510681581,510681502,510681502,5,5,510681502,28371198.94,18,358.8797771,-401,1565,3171,1565,1565,131,138,1565,176.1666667,18,280.3982397,-330,1204,2182,1204,1204,84.5,105.75,1204,121.2222222,18,21965.30753,0,96077,1629822,96077,96077,95990.5,96043,96077,90545.66667,0,0,18,26.95635476,23,125,2083,125,125,125,125,125,115.7222222,18,990837.6084,-303718,3836878,10542547,3836878,3836878,255374.5,503237.5,3836878,585697.0556,18,2.844205719,0,14,85,14,14,4,5,14,4.722222222,165242,18,94042535522,3198,4.10556E+11,4.10556E+11,0.626099039,0.633037883,3218,-0.168545744,0.700240474,22808668359,18,1873.461243,918,10012,47961,10012,10012,2154.5,2400.25,10012,2664.5,18,872.5525295,872,4825,22479,4825,4825,1018.5,1110,4825,1248.833333,18,86.19968563,0,480,5311,480,480,312,318.25,480,295.0555556,0,0,18,152.6526457,1163,1956,24751,1956,1956,1358.5,1375.5,1956,1375.055556,-0.108084759,-0.129433379,1,client_disc,error,0,1,0,0,0,0
4,12.45993579,104,137,474,137,137,116.5,133.25,137,118.5,5868,1287,4,47.23544749,9,121,157,121,121,13.5,94.25,121,39.25,4,46.2087654,12,133,342,133,133,98.5,128.5,133,85.5,5,45.09988914,221,363,1470,363,363,294,332.5,363,294,49060,65617,4552,5,5.418486874,9,25,74,-0.007899086,-0.007898259,14,-0.00789107,-0.0078952,14.8,6,1.490711985,0,0,20,4,4,4,4,4,3.333333333,6,1.892969449,0,0,21,5,5,4.5,5,5,3.5,6,99.505025,0,0,297,272,272,5,71.75,272,49.5,5,1717.195085,506,5151,17479,-0.00788592,-0.00788592,4447,-0.00788467,-0.00788592,3495.8,6,0,0,0,0,0,0,0,0,0,0,7509,6,0,0,0,0,0,0,0,0,0,0,6,2.98142397,0,0,8,8,8,0,2,8,1.333333333,3,765.8643628,132,1866,2377,1866,1866,379,1866,1866,792.3333333,3,5.249338583,0,12,14,12,12,2,12,12,4.666666667,8997,3,239452641.6,5,507955765,507955775,507955765,507955765,5,507955765,507955765,169318591.7,3,107.5804608,-9,242,280,242,242,47,242,242,93.33333333,3,28.77885026,-17,52,40,52,52,5,52,52,13.33333333,3,45166.65519,0,95981,191625,95981,95981,95644,95981,95981,63875,0,0,3,35.35533906,50,125,300,125,125,125,125,125,100,3,3254.567082,2126,9657,15410,9657,9657,3627,9657,9657,5136.666667,3,12.28368385,8,35,53,35,35,10,35,35,17.66666667,63053,3,3.97144E+11,13623,8.4247E+11,8.4247E+11,1.544857165,1.555083968,13826,2.417397118,1.662696746,2.80823E+11,3,795.6481634,2596,4528,10464,4528,4528,3340,4528,4528,3488,3,893.319776,-218,1921,2155,1921,1921,452,1921,1921,718.3333333,3,34.17926597,0,73,145,73,73,72,73,73,48.33333333,0,0,3,1506.422104,1616,4906,11230,4906,4906,4708,4906,4906,3743.333333,2.930416123,-0.553803652,1,game,ended,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,conn_to,error,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.729954459,-0.528840695,1,game,ended,1,0,1,0,0,0
